Pocket Server(For MCPE),19 November 2016,FENGberd, 1.0.7.6  ,Rated for 3+,Tools,Install,3.9,1437, 50000 ,
Servers For Minecraft PE,5 January 2017,camposandev, 0.1.10  ,Rated for 3+,Tools,Install,3.3,1524, 100000 ,
Multiplayer Maps for Minecraft,26 July 2016,Arizona Software, 1.1  ,Rated for 3+,Tools,Install,4.1,2284, 100000 ,
Multiplayer for Minecraft pro,30 December 2016,Blockman Multiplayer,,Rated for 3+,Tools,Install,3.8,1465, 10000 ,
Best Maps for Minecraft PE,2 December 2016,MAP MCPE, 1.0  ,Rated for 3+,Tools,Install,4.1,14, 1000 ,
MCPE Maps Master Pack,6 December 2016,Rambo Hero Games, 1.0.0  ,Rated for 3+,Tools,Install,3.4,19, 1000 ,
Inshorts - News in 60 words,2 January 2017,Inshorts (Formerly News in Shorts),  Varies with d,Rated for 3+,News & Magazines,Install,4.6,227701, 1000000 ,Top Developer
Horoscope Rumbo Astral,16 July 2012,TV AZTECA, 1.1  ,Rated for 3+,Lifestyle,Install,4.0,162, 10000 ,
Univision Deportes Fantasy,23 December 2016,Univision Communications Inc., 1.7  ,Rated for 3+,Sports,Install,3.7,850, 100000 ,Top Developer
Maps for Minecraft PE,25 April 2016,TNT Game Maker, 1.22  ,Rated for 3+,Tools,Install,3.8,1098, 50000 ,
Venezuela News,29 July 2016,Vcoud.com, 4.0.1  ,Rated for 3+,News & Magazines,Install,4.5,640, 10000 ,
Azteca Trends,28 March 2016,TV AZTECA, 1.3.8  ,Rated for 3+,Entertainment,Install,4.0,387, 10000 ,
EFE Digital noticias,28 April 2016,Agencia EFE, 1.2  ,Rated for 3+,News & Magazines,Install,4.1,302, 10000 ,
Notícias do Brasil - NF,9 September 2015,Newsfusion,  Varies with d,Rated for 3+,News & Magazines,Install,4.4,81, 1000 ,
Folha de S.Paulo,23 December 2016,Folha de S.Paulo, 2.0.10  ,Rated for 3+,News & Magazines,Install,3.6,4813, 100000 ,
Band News,8 June 2016,One Brasil Mídia Interativa, 1.3.0  ,Rated for 3+,News & Magazines,Install,4.1,6108, 500000 ,
Spanish Newspapers,7 November 2016,Baris Efe, 2.2.1  ,Rated for 3+,News & Magazines,Install,4.3,13421, 500000 ,Top Developer
